x1,x2,cluster_real
-2.6991409905797235,9.621186548176599,0
-7.3831620267543085,-7.61450174750379,2
-1.1668667298714674,9.666605647978294,0
-8.550605810265758,6.970528188683022,3
-6.6509719238736285,7.3738585844110185,3
-10.161462554131328,7.838631374142497,3
5.749535822309281,1.9910229493285772,1
-6.331057634003894,-5.71677276937345,2
-7.61097855164263,-7.206981805871298,2
-6.42929363992328,-5.654776265716731,2
4.265841022535665,2.0842991746339097,1
-2.9007405783685694,9.9128400204844,0
-8.79096158119062,8.25358570619901,3
-2.217122076919558,7.515701996139998,0
-4.140153156056935,8.991749334066487,0
5.987993129951651,0.9210265099379102,1
4.9154202358432775,1.8625480877282001,1
-9.215977027700704,7.644228334586828,3
-2.274010443622234,9.717391889878941,0
-9.757231585095923,7.847068181401327,3
-9.437019893597355,6.126330813589678,3
-6.658863064688011,-7.648778724614694,2
-1.2633961694694293,8.822376272784766,0
-8.06840962889754,-6.401585742088962,2
4.787082623201606,2.300689456710243,1
5.06911802336149,2.7090615989853353,1
-8.335791540878516,-5.729318075235346,2
4.031870683357129,2.5508277705352063,1
3.34841436516719,1.5615707220044184,1
-3.56060572729912,7.891898007076687,0
-8.980525016259467,-7.557470560425852,2
-8.183624236276549,-5.794084294662214,2
-8.658962909513784,7.2413167704088695,3
-8.68374143983629,7.5345104138539885,3
-2.9082508510974594,9.475462165246391,0
-0.9059396070237995,9.162677269105385,0
4.629469079308224,1.2105034681777753,1
-8.764726437284045,7.191197265415435,3
-1.8185506740176818,10.16709015248352,0
-6.357585496114359,-6.236228039735737,2
-6.796602507384764,-7.5371679095530935,2
4.622112481358576,2.0728979597531967,1
-2.2337262490671743,8.686966189844453,0
-2.570406226396034,9.867289091406542,0
4.914189612515478,1.2700233819212574,1
-6.336823601190503,-8.292401646204562,2
5.081323373333098,3.275997759992923,1
-5.44555680133959,-6.130715799868914,2
-7.623902706528313,-8.055489364595632,2
-9.284169982973818,7.739491292542434,3
-8.19488743248746,6.539682389947721,3
-9.325940462484212,6.85869281544437,3
4.678614900146343,1.4193093884757875,1
5.368889515949817,1.837221933471819,1
-2.426681706106916,9.837634370151278,0
5.017125350152395,2.631608629355668,1
-8.052904790310144,7.1663560995221625,3
-3.337677042745973,9.683308041379405,0
-3.1749629215385515,8.740533839423497,0
4.689356246907201,1.0016449307847024,1
-7.433687882783105,-6.839820722656995,2
-5.646155124525484,-6.064729391103521,2
-2.6074986630827546,8.758347986947426,0
-3.084581323312815,9.534210973713058,0
4.809079577465551,1.4629853383557565,1
-2.2020113583705982,10.321617209694395,0
-9.147398137017788,7.275119135335796,3
-9.034622107313387,7.915298325590109,3
-8.133333012630045,5.444057902842001,3
-7.522525324642928,-8.08902524643397,2
-1.8368204680661604,8.241306791622794,0
-7.429214142757417,-7.799425396348182,2
-10.034712697146158,6.662378731046459,3
4.848100421670516,1.5422679848752718,1
-9.496048575874047,6.265566417683999,3
-2.9164957252212464,8.856475998034076,0
-8.099162724546199,8.475815095482911,3
-3.265284888234445,8.320847385977698,0
-2.0103690933225202,10.876173410136804,0
-6.589134611740684,-5.285364379942443,2
-2.28829724794159,9.678835569209035,0
-6.071766928693127,-7.370477700588989,2
-3.7122627537956023,8.656737603847766,0
5.0421308171156145,1.9112651081823901,1
5.330811637241218,2.5083541995758023,1
-2.6959187277146355,9.317831813983306,0
4.821858518738774,0.9142917220355422,1
3.966236208560306,1.8756437086938678,1
-8.97263447042815,6.960674006043396,3
4.371899978283808,2.6182935213600094,1
-9.782317225281965,8.812952792408783,3
-6.389553772553868,-6.615546961913941,2
-3.19641718551196,8.587792641151465,0
-8.431194904751576,7.60713570499261,3
3.4688598734645737,1.1760184000128775,1
-8.560439488936472,7.137287466011169,3
-8.234011783663043,7.701146730261837,3
-8.263038263351959,-6.839237388613772,2
4.5474327100397725,2.3146246477248322,1
-8.043001122460668,8.404344746243739,3
-6.138154649938693,-6.724268888398347,2
3.920104175869957,0.6855495429577472,1
-1.817707988288531,7.96805145922946,0
-2.538702627302207,8.02090979622172,0
-6.975106033388475,-7.067933752879187,2
-6.553171559552859,-6.907900129155926,2
-7.845713004225174,7.539780632304734,3
-7.717494330536482,-6.451670055085779,2
-6.976986059615995,-5.827965728098504,2
3.9382062189544667,1.6999917185356876,1
-7.52839747421241,-8.414259378840788,2
-8.600354424264163,6.3668572252950835,3
-6.838383807398167,-7.586417192225329,2
-8.503043435614458,6.9656861068014795,3
-9.066883143607617,6.382975893068283,3
-7.369882822134353,-6.238027051324054,2
4.736368579691662,2.535980757283622,1
-9.058980405295074,6.045851405348313,3
-7.3303461667678445,-7.5540515006989395,2
-9.510231043764525,7.724271019064299,3
-8.16753959402004,-5.7182664659481,2
-2.646290477968858,9.35772935649068,0
-4.735980961529033,9.712903256917262,0
3.9829774038711654,1.7718738682117245,1
-8.684938556814606,-7.3270013617045935,2
-7.113421133730167,-8.836742583301193,2
-9.679491853855804,7.2166040334140025,3
-8.669955709983334,7.200816565363352,3
